num_epochs,accuracy,file_name
13,0.9786,output/models/dataset=mnist_nn_architecture=only_cnn_pooling=None_detph=7_width=null_filter=2_kernel=11_epochs=100_activationFunction=arctan_stride=1_bias=True_initializer=glorot_uniform_regualizer=None_batchNormalization=False_temperature=1_batchSize=128
12,0.9736,output/models/dataset=mnist_nn_architecture=only_cnn_pooling=None_detph=7_width=null_filter=2_kernel=11_epochs=100_activationFunction=tanh_stride=1_bias=True_initializer=glorot_uniform_regualizer=None_batchNormalization=False_temperature=1_batchSize=128
9,0.9736,output/models/dataset=mnist_nn_architecture=only_cnn_pooling=None_detph=7_width=null_filter=2_kernel=13_epochs=100_activationFunction=ada_stride=1_bias=True_initializer=glorot_uniform_regualizer=None_batchNormalization=False_temperature=1_batchSize=128
24,0.9684,output/models/dataset=mnist_nn_architecture=only_cnn_pooling=None_detph=7_width=null_filter=2_kernel=13_epochs=100_activationFunction=sigmoid_stride=1_bias=True_initializer=glorot_uniform_regualizer=None_batchNormalization=False_temperature=1_batchSize=128
8,0.9718,output/models/dataset=mnist_nn_architecture=only_cnn_pooling=None_detph=7_width=null_filter=2_kernel=13_epochs=100_activationFunction=arctan_stride=1_bias=True_initializer=glorot_uniform_regualizer=None_batchNormalization=False_temperature=1_batchSize=128
14,0.977,output/models/dataset=mnist_nn_architecture=only_cnn_pooling=None_detph=7_width=null_filter=2_kernel=13_epochs=100_activationFunction=tanh_stride=1_bias=True_initializer=glorot_uniform_regualizer=None_batchNormalization=False_temperature=1_batchSize=128
21,0.9758,output/models/dataset=mnist_nn_architecture=only_cnn_pooling=None_detph=9_width=null_filter=2_kernel=3_epochs=100_activationFunction=ada_stride=1_bias=True_initializer=glorot_uniform_regualizer=None_batchNormalization=False_temperature=1_batchSize=128
4,0.1126,output/models/dataset=mnist_nn_architecture=only_cnn_pooling=None_detph=9_width=null_filter=2_kernel=3_epochs=100_activationFunction=sigmoid_stride=1_bias=True_initializer=glorot_uniform_regualizer=None_batchNormalization=False_temperature=1_batchSize=128
24,0.9746,output/models/dataset=mnist_nn_architecture=only_cnn_pooling=None_detph=9_width=null_filter=2_kernel=3_epochs=100_activationFunction=arctan_stride=1_bias=True_initializer=glorot_uniform_regualizer=None_batchNormalization=False_temperature=1_batchSize=128
15,0.9746,output/models/dataset=mnist_nn_architecture=only_cnn_pooling=None_detph=9_width=null_filter=2_kernel=3_epochs=100_activationFunction=tanh_stride=1_bias=True_initializer=glorot_uniform_regualizer=None_batchNormalization=False_temperature=1_batchSize=128
7,0.1126,output/models/dataset=mnist_nn_architecture=only_cnn_pooling=None_detph=9_width=null_filter=2_kernel=5_epochs=100_activationFunction=ada_stride=1_bias=True_initializer=glorot_uniform_regualizer=None_batchNormalization=False_temperature=1_batchSize=128
7,0.1126,output/models/dataset=mnist_nn_architecture=only_cnn_pooling=None_detph=9_width=null_filter=2_kernel=5_epochs=100_activationFunction=sigmoid_stride=1_bias=True_initializer=glorot_uniform_regualizer=None_batchNormalization=False_temperature=1_batchSize=128
15,0.9718,output/models/dataset=mnist_nn_architecture=only_cnn_pooling=None_detph=9_width=null_filter=2_kernel=5_epochs=100_activationFunction=arctan_stride=1_bias=True_initializer=glorot_uniform_regualizer=None_batchNormalization=False_temperature=1_batchSize=128
19,0.9774,output/models/dataset=mnist_nn_architecture=only_cnn_pooling=None_detph=9_width=null_filter=2_kernel=5_epochs=100_activationFunction=tanh_stride=1_bias=True_initializer=glorot_uniform_regualizer=None_batchNormalization=False_temperature=1_batchSize=128
11,0.976,output/models/dataset=mnist_nn_architecture=only_cnn_pooling=None_detph=9_width=null_filter=2_kernel=7_epochs=100_activationFunction=ada_stride=1_bias=True_initializer=glorot_uniform_regualizer=None_batchNormalization=False_temperature=1_batchSize=128
6,0.1126,output/models/dataset=mnist_nn_architecture=only_cnn_pooling=None_detph=9_width=null_filter=2_kernel=7_epochs=100_activationFunction=sigmoid_stride=1_bias=True_initializer=glorot_uniform_regualizer=None_batchNormalization=False_temperature=1_batchSize=128
12,0.9756,output/models/dataset=mnist_nn_architecture=only_cnn_pooling=None_detph=9_width=null_filter=2_kernel=7_epochs=100_activationFunction=arctan_stride=1_bias=True_initializer=glorot_uniform_regualizer=None_batchNormalization=False_temperature=1_batchSize=128
9,0.9772,output/models/dataset=mnist_nn_architecture=only_cnn_pooling=None_detph=9_width=null_filter=2_kernel=7_epochs=100_activationFunction=tanh_stride=1_bias=True_initializer=glorot_uniform_regualizer=None_batchNormalization=False_temperature=1_batchSize=128
12,0.9798,output/models/dataset=mnist_nn_architecture=only_cnn_pooling=None_detph=9_width=null_filter=2_kernel=9_epochs=100_activationFunction=ada_stride=1_bias=True_initializer=glorot_uniform_regualizer=None_batchNormalization=False_temperature=1_batchSize=128
9,0.1126,output/models/dataset=mnist_nn_architecture=only_cnn_pooling=None_detph=9_width=null_filter=2_kernel=9_epochs=100_activationFunction=sigmoid_stride=1_bias=True_initializer=glorot_uniform_regualizer=None_batchNormalization=False_temperature=1_batchSize=128
10,0.976,output/models/dataset=mnist_nn_architecture=only_cnn_pooling=None_detph=9_width=null_filter=2_kernel=9_epochs=100_activationFunction=arctan_stride=1_bias=True_initializer=glorot_uniform_regualizer=None_batchNormalization=False_temperature=1_batchSize=128
